Device Name,Device Model,OS Version,OS Type,Battery Percent,Battery State,Free Storage Memory,Free Program Memory,Scheduled Jobs Count,Inprogress Jobs Count,Failed Jobs Count,Deployed Jobs Count
Client12509,XT1706,MARSHMALLOW,Android,100,Charging,49,46,4,0,0,0
DESKTOP-8HGJ5BU,VirtualBox,Windows 10 Pro,Windows,255,N/A,N/A,N/A,1,0,0,6
Client0001,SM-M015G,ANDROID 10,Android,100,Normal,73,47,1,1,2,65
A21,SM-A217F,ANDROID 10,Android,70,Normal,85,45,1,6,0,2
super12639man,SM-T365,LOLLIPOP,Android,72,Charging,53,33,1,0,0,2
4.132E+14,SM-G900F,KITKAT,Android,100,Charging,96,77,1,0,0,1
Reg12624MDM,Mi A3,ANDROID 10,Android,83,Normal,17,28,0,0,0,6
Samsung Chromebook 3,Samsung Chromebook 3,N/A,ChromeOS,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Reg12625MDM,SM-A217F,ANDROID 10,Android,79,Normal,87,50,0,0,0,7
QA iPad,iPad,14.3,iOS,56,N/A,75,N/A,0,0,0,2
Reg12629MDM,SM-A515F,ANDROID 10,Android,97,Normal,95,50,0,0,0,2
Reg12638MDM,SM-T285YD,LOLLIPOP,Android,69,Normal,44,32,0,0,0,14
Reg12640MDM,SQ51C,NOUGAT,Android,70,Normal,63,48,1,0,0,2
